sentence,relation,label,entity1,entity2,sentence_without_tags,split
Anne Grey's <e1>mind</e1> was filled with <e2>questions</e2>.,"Content-Container (e2, e1)",5,mind,questions,Anne Grey's mind was filled with questions.,train
New <e1>plans</e1> are outlined for another wind <e2>farm</e2> in north Devon of no more than four turbines.,Other,18,plans,farm,New plans are outlined for another wind farm in north Devon of no more than four turbines.,train
"Recently, in China, more <e1>people</e1> are moving into big <e2>cities</e2>.","Entity-Destination (e1, e2)",6,people,cities,"Recently, in China, more people are moving into big cities.",train
I had my hand on the <e1>hilt</e1> of the <e2>sword</e2> waiting for your signal to kill him.,"Component-Whole (e1, e2)",2,hilt,sword,I had my hand on the hilt of the sword waiting for your signal to kill him.,train
"The <e1>galls</e1> are caused by the <e2>larvae</e2> of a small gnat-like midge, Dasyneura communis Felt.","Product-Producer (e1, e2)",16,galls,larvae,"The galls are caused by the larvae of a small gnat-like midge, Dasyneura communis Felt.",train
I will leave it up to Wes to tell you about the <e1>mask</e1> of <e2>raccoons</e2> we encountered on the trip.,"Member-Collection (e2, e1)",13,mask,raccoons,I will leave it up to Wes to tell you about the mask of raccoons we encountered on the trip.,train
A Stormont <e1>meeting</e1> on <e2>jobs</e2> with a delegation from the north west was 'constructive'.,"Message-Topic (e1, e2)",14,meeting,jobs,A Stormont meeting on jobs with a delegation from the north west was 'constructive'.,train
I found the secret <e1>passages</e1> inside the <e2>Monastery</e2>.,"Component-Whole (e1, e2)",2,passages,Monastery,I found the secret passages inside the Monastery.,train
This photograph shows the <e1>vortices</e1> created by the water strider's <e2>legs</e2> as it moves across the water.,"Cause-Effect (e2, e1)",1,vortices,legs,This photograph shows the vortices created by the water strider's legs as it moves across the water.,train
Lauren also explores <e1>bisexuality</e1> in this new <e2>book</e2>.,"Message-Topic (e2, e1)",15,bisexuality,book,Lauren also explores bisexuality in this new book.,train
"To prevent rust, etc., the <e1>slug</e1> C is enclosed in a <e2>glass envelope</e2> before being sealed into the tap.","Entity-Destination (e1, e2)",6,slug,glass envelope,"To prevent rust, etc., the slug C is enclosed in a glass envelope before being sealed into the tap.",train
The drill <e1>platform</e1> was a part of the Romulan mining <e2>ship</e2> Narada that could be lowered into the atmosphere of a planet or planetoid for mining operations.,"Component-Whole (e1, e2)",2,platform,ship,The drill platform was a part of the Romulan mining ship Narada that could be lowered into the atmosphere of a planet or planetoid for mining operations.,train
"When the synaptic input to the axon was stimulated before eliciting an action potential in the axon, <e1>transmitter</e1> release from the <e2>axon</e2> was enhanced.","Entity-Origin (e1, e2)",8,transmitter,axon,"When the synaptic input to the axon was stimulated before eliciting an action potential in the axon, transmitter release from the axon was enhanced.",train
Most of the <e1>vapor</e1> that is in the air evaporated from the surface of the <e2>oceans</e2>.,"Entity-Origin (e1, e2)",8,vapor,oceans,Most of the vapor that is in the air evaporated from the surface of the oceans.,train
The HP LaserJet 3800n's instant-on <e1>fuser</e1> produces the first <e2>page</e2> of each print job in less than 12.5 seconds.,"Product-Producer (e2, e1)",17,fuser,page,The HP LaserJet 3800n's instant-on fuser produces the first page of each print job in less than 12.5 seconds.,train
Olive Garden is a <e1>family</e1> of local <e2>restaurants</e2> focused on delighting every guest with a genuine Italian dining experience.,"Member-Collection (e2, e1)",13,family,restaurants,Olive Garden is a family of local restaurants focused on delighting every guest with a genuine Italian dining experience.,train
"As the Gondorians moved forward the evil force started to withdraw, unleashing a <e1>rain</e1> of deadly <e2>arrows</e2> into the heavily armoured Gondorians.","Member-Collection (e2, e1)",13,rain,arrows,"As the Gondorians moved forward the evil force started to withdraw, unleashing a rain of deadly arrows into the heavily armoured Gondorians.",train
"Food <e1>poisoning</e1> is perhaps the commonest cause of <e2>abdominal pain</e2>, especially in the young dog or the scavenger type.","Cause-Effect (e1, e2)",0,poisoning,abdominal pain,"Food poisoning is perhaps the commonest cause of abdominal pain, especially in the young dog or the scavenger type.",train
"The <e1>bag</e1> contained <e2>books</e2>, a cell phone and notepads.","Content-Container (e2, e1)",5,bag,books,"The bag contained books, a cell phone and notepads.",train
"The <e1>governor</e1> piled up all the mud into another <e2>causeway</e2>, in the style of Bai Causeway.","Product-Producer (e2, e1)",17,governor,causeway,"The governor piled up all the mud into another causeway, in the style of Bai Causeway.",train
"The Police has beaten him up, poured water into his ears and nose, and stuffed a <e1>shoe</e1> in his <e2>mouth</e2>.","Entity-Destination (e1, e2)",6,shoe,mouth,"The Police has beaten him up, poured water into his ears and nose, and stuffed a shoe in his mouth.",train
The severe <e1>famine</e1> following the <e2>good years</e2> required a political and economic reorganization in the country.,Other,18,famine,good years,The severe famine following the good years required a political and economic reorganization in the country.,train
"Just as we were sitting down to dinner one night, someone brushed the drapes and a <e1>cloud</e1> of baby <e2>grasshoppers</e2> erupted over the dining room table and into our dinner.","Member-Collection (e2, e1)",13,cloud,grasshoppers,"Just as we were sitting down to dinner one night, someone brushed the drapes and a cloud of baby grasshoppers erupted over the dining room table and into our dinner.",train
"The predominant mixing action is to shear the mixing compound between the <e1>rotors</e1> of the <e2>mixer</e2>, and the distance between the rotors is less than the rotor diameter.","Component-Whole (e1, e2)",2,rotors,mixer,"The predominant mixing action is to shear the mixing compound between the rotors of the mixer, and the distance between the rotors is less than the rotor diameter.",train
The fad started when a certain <e1>brand</e1> of socks manufactured by an American <e2>company</e2> became popular among Japanese schoolgirls.,Other,18,brand,company,The fad started when a certain brand of socks manufactured by an American company became popular among Japanese schoolgirls.,train
"Where a worker works in a <e1>factory</e1> for more than nine <e2>hours</e2> in any day or for more than forty-eight hours in any week, he shall be entitled to wages at the rate of twice his ordinary rate of wages.",Other,18,factory,hours,"Where a worker works in a factory for more than nine hours in any day or for more than forty-eight hours in any week, he shall be entitled to wages at the rate of twice his ordinary rate of wages.",train
"However, the increased demand logically calls for expansion and modification of intake processes to reach the goal of pairing each potential member with a <e1>sorority</e1> of their <e2>choice</e2>.",Other,18,sorority,choice,"However, the increased demand logically calls for expansion and modification of intake processes to reach the goal of pairing each potential member with a sorority of their choice.",train
Somali pirates simply shift their area of activity to avoid international <e1>flotilla</e1> of navy <e2>ships</e2> in the area.,"Member-Collection (e2, e1)",13,flotilla,ships,Somali pirates simply shift their area of activity to avoid international flotilla of navy ships in the area.,train
The <e1>tourist</e1> was taking a trip into the amazing <e2>jungle</e2> of Amazon.,"Entity-Destination (e1, e2)",6,tourist,jungle,The tourist was taking a trip into the amazing jungle of Amazon.,train
"In the older <e1>sections</e1> of the <e2>city</e2> the street in front of one's house is considered the person's responsibility, it is seen as an extension of their house.","Component-Whole (e1, e2)",2,sections,city,"In the older sections of the city the street in front of one's house is considered the person's responsibility, it is seen as an extension of their house.",train
"This Pacific Chorus <e1>frog</e1> was found in a Christmas <e2>tree</e2> being sold in Anchorage, Alaska.",Other,18,frog,tree,"This Pacific Chorus frog was found in a Christmas tree being sold in Anchorage, Alaska.",train
A White House <e1>usher</e1> prepares the blue <e2>room</e2> for a luncheon for the European Commission.,Other,18,usher,room,A White House usher prepares the blue room for a luncheon for the European Commission.,train
"The moisturizers' primary function is to keep skin moist, minimize <e1>wrinkles</e1> from <e2>dryness</e2>, smoothe and soften skin, and to deliver other ingredients, like sunscreen, that benefit the skin.","Cause-Effect (e2, e1)",1,wrinkles,dryness,"The moisturizers' primary function is to keep skin moist, minimize wrinkles from dryness, smoothe and soften skin, and to deliver other ingredients, like sunscreen, that benefit the skin.",train
"Over much of the past decade, the <e1>leader</e1> has methodically fashioned the party into a re-election <e2>machine</e2>.",Other,18,leader,machine,"Over much of the past decade, the leader has methodically fashioned the party into a re-election machine.",train
The <e1>statement</e1> comes from the writer's <e2>knowledge</e2> and its ideas are fresh and original.,"Entity-Origin (e1, e2)",8,statement,knowledge,The statement comes from the writer's knowledge and its ideas are fresh and original.,train
"<e1>Listeners</e1> receive WBAI live over the <e2>internet</e2> (referred to as ""streaming""), using one of the various audio formats below.","Instrument-Agency (e2, e1)",11,Listeners,internet,"Listeners receive WBAI live over the internet (referred to as ""streaming""), using one of the various audio formats below.",train
